,Qwen3-8B,BGE-M3,Jina-v3,OpenAI
Qwen3-8B,1.0,0.5988745400764737,0.69742442825193,0.6210951590794316
BGE-M3,0.5988745400764737,1.0,0.7603347521823823,0.6554361157203666
Jina-v3,0.69742442825193,0.7603347521823823,1.0,0.7363826563739991
OpenAI,0.6210951590794316,0.6554361157203666,0.7363826563739991,1.0
