Country_Name,country_id,Avg_Length,RRF_Score,Qwen3-8B_score,BGE-M3_score,Jina-v3_score,OpenAI_score,Final_Rank
Tajikistan,Tajikistan,398.5,0.06426011264720942,0.45294632950072977,0.4152659336330139,0.23532872689821627,0.2864111660222961,1
Turkmenistan,Turkmenistan,695.0,0.06377247488101534,0.45953688678935983,0.41410960943345676,0.22775836294237256,0.28866864413243565,2
Vietnam,Vietnam,798.0,0.062324929971988796,0.4370603378984117,0.4151316537388315,0.2345442985588419,0.2822335579936995,3
China,China,166.5,0.0578132684812401,0.4611588503433242,0.40825057661868663,0.23834607889233922,0.24715393882288073,4
Belarus,Belarus,726.75,0.056331629436137634,0.4159434468856909,0.4269613996173297,0.22392020005163457,0.2784704501563809,5
Georgia,Georgia,323.0,0.05586663795481922,0.4305919879064929,0.406712182631627,0.21903597009262227,0.2737469945898808,6
Iran,Iran,255.25,0.0553624937694688,0.4421975410197,0.39483236548250017,0.2202336053548346,0.27193138355409074,7
Ukraine,Ukraine,697.25,0.05488891836103148,0.4229040552377817,0.4093907098902771,0.21823478999046694,0.27112981865559527,8
Lithuania,Lithuania,254.0,0.054768796952549624,0.43229987454413477,0.40791655576113917,0.21103646904375578,0.2610359147859952,9
Somalia,Somalia,573.25,0.052371876588119176,0.4282101899904177,0.4036430359501152,0.21164132933979146,0.26439166026778776,10
Afghanistan,Afghanistan,189.0,0.05093119029671177,0.43067593505822216,0.4077153817317695,0.20718901213436308,0.2542028701813558,11
Russia,Russia,567.0,0.0508563074352548,0.4342077606280177,0.4038492857357168,0.2029088797554997,0.2569359228435024,12
Philippines,Philippines,194.75,0.05080846711266043,0.43736359784012446,0.40224090059728346,0.2115462589302235,0.24717719113092676,13
Cuba,Cuba,494.25,0.049562374065246356,0.4116747918446368,0.4076395765918301,0.21460874331360502,0.2584416849682256,14
Kyrgyzstan,Kyrgyzstan,388.75,0.04921260083296129,0.42447399473141106,0.395587390138602,0.21647287617073782,0.2627708768652475,15
Ecuador,Ecuador,854.0,0.04862015728277126,0.4225402781770263,0.4065459757286968,0.21476154981457127,0.24833598659439496,16
Botswana,Botswana,109.5,0.04843238602829396,0.4405199279398486,0.3914577026080313,0.2098447560832842,0.2510352849735219,17
Dominican Republic,Dominican Republic,527.25,0.047313497086164655,0.43469407201908383,0.4008664334092952,0.22106601921327146,0.21246477867247343,18
Yemen,Yemen,258.75,0.04731178460385994,0.43224371472370854,0.3999298639223605,0.20318300763432826,0.250686879402096,19
Paraguay,Paraguay,238.5,0.04729471337103565,0.43126586408685774,0.40341681372755406,0.2034641001060503,0.24971002188051986,20
Mongolia,Mongolia,281.0,0.046151467580039005,0.4066736212899717,0.41071686851770056,0.19994917850583102,0.25687004221466275,21
Montenegro,Montenegro,838.25,0.046144215261862326,0.4266681254562458,0.3989432689612829,0.20626213458656245,0.2502010919725713,22
Armenia,Armenia,657.75,0.045503412503412506,0.4114228172749729,0.4053843635146664,0.19948288130885827,0.2595419602822174,23
Honduras,Honduras,471.25,0.04549245961010667,0.4302890164910481,0.40474635530511016,0.21057918044342938,0.2340195435933255,24
Moldova,Moldova,351.0,0.04538281731264187,0.42053184663870136,0.4041724199199227,0.20727924743476955,0.2477781827290489,25
Comoros,Comoros,146.25,0.04533570267001234,0.41394274757760685,0.3968437679504452,0.20888349275489623,0.25791817234905173,26
Slovakia,Slovakia,1256.25,0.045253117649855554,0.41849581770310695,0.40456819602956634,0.21914428999363586,0.23946276338591216,27
Slovenia,Slovenia,1491.0,0.04519323603706646,0.4366606910024743,0.3943857342632428,0.19351527530692805,0.25448973698062916,28
Guinea,Guinea,146.25,0.04514371287627102,0.432356958674741,0.3880214081393937,0.2082499310806169,0.2519117119453758,29
Guinea-Bissau,Guinea-Bissau,211.75,0.04511264793516623,0.4355617798019204,0.39746639109804766,0.20085793624278475,0.24388767791675373,30
Tanzania,Tanzania,424.0,0.04405716853644053,0.4104508118930865,0.39769122891965336,0.1989998739263169,0.2627754737838068,31
Tunisia,Tunisia,468.25,0.042846509539138,0.4204734950194389,0.39304135034535775,0.20673734124084153,0.25550020836659226,32
Burundi,Burundi,302.0,0.042210999346105144,0.4151545738658978,0.3956001247782766,0.1999611227088114,0.25628244267053585,33
Albania,Albania,469.0,0.04218690850952189,0.4134055909983392,0.3966347851403063,0.20340771234955252,0.25251773420434553,34
Ivory Coast,Ivory Coast,334.0,0.04156857461614098,0.4439092912320638,0.3909775576338272,0.1923225169358868,0.2413959040225468,35
Serbia,Serbia,822.0,0.041530910609857974,0.4329192761924362,0.3905096288203055,0.19291678786445554,0.24931895750581826,36
Peru,Peru,567.75,0.04122931890017762,0.4340820474352823,0.39389364606100025,0.19129522670708618,0.2467803737237973,37
Indonesia,Indonesia,857.75,0.040975613454284354,0.42734072523434624,0.3921348747672237,0.20382528896286317,0.24436475734868077,38
Mali,Mali,262.25,0.040907830710910954,0.4161229598340211,0.39443568467362383,0.20675696374332878,0.24753367564397974,39
Niger,Niger,204.25,0.040814938583130636,0.4301799681926274,0.3953407083570398,0.20153265819267352,0.24098144549300488,40
Cambodia,Cambodia,86.25,0.04061975606093253,0.4225376741116695,0.39075441520889787,0.19737773187274074,0.25459970602603876,41
Togo,Togo,513.75,0.04031487833605481,0.42078043291349865,0.3940414333305545,0.20534151275708043,0.2466940545414648,42
Portugal,Portugal,576.5,0.03983836762307908,0.4216080912988026,0.39747188558132407,0.18826170811845808,0.24726214884599185,43
Azerbaijan,Azerbaijan,553.25,0.03979287241024705,0.42060775537393075,0.39681646247448177,0.19879838644349018,0.2448310232689325,44
Angola,Angola,298.0,0.039771808040333353,0.4260752844734147,0.3946090614925192,0.20126093095056913,0.24217371735362367,45
Tonga,Tonga,59.5,0.03905340199654664,0.42713169569741727,0.3791811990036389,0.1811555880271419,0.2585549892358941,46
Sao Tome and Principe,Sao Tome and Principe,373.0,0.03861187927235399,0.4321326244022002,0.39402668652853967,0.18880141177437937,0.24246949523821887,47
Laos,Laos,495.5,0.038367874462192114,0.4019678833282022,0.4059565547823801,0.20089051835609642,0.23251235192886263,48
Senegal,Senegal,266.0,0.03813782689099278,0.40384656151328224,0.3957129518913901,0.20175539639018386,0.24567600465257403,49
Chad,Chad,427.25,0.03809658503135954,0.4333829224966232,0.3849157762068168,0.19664194192141357,0.239345900624431,50
