Model_1,Model_2,Tau,P_Value
Qwen3-8B,BGE-M3,0.5988745400764737,1.5111215462197075e-30
Qwen3-8B,Jina-v3,0.69742442825193,8.04794799354374e-41
Qwen3-8B,OpenAI,0.6210951590794316,9.942798086905453e-33
BGE-M3,Jina-v3,0.7603347521823823,3.469905788632373e-48
BGE-M3,OpenAI,0.6554361157203666,2.9612544288457996e-36
Jina-v3,OpenAI,0.7363826563739991,2.6227684417135403e-45
