,count,mean,std,min,25%,50%,75%,max,win_rate
GT,103.0,0.37302750826460646,0.07268048466142585,0.0933137983083725,0.3295110762119293,0.36980634927749634,0.4110226035118103,0.6234874725341797,1.9417475728155338
Gemini,103.0,0.4410573084956234,0.08247603393396369,0.26835131645202637,0.38331934809684753,0.43250736594200134,0.5030313283205032,0.6724785566329956,71.84466019417476
GPT,100.0,0.40427165895700456,0.08874787820504705,0.20751476287841797,0.33859914541244507,0.4015299528837204,0.46462349593639374,0.5891504287719727,26.21359223300971
