,count,mean,std,min,25%,50%,75%,max,win_rate
GT,103.0,0.8645172003403451,0.09492654543823928,0.38623934984207153,0.866724967956543,0.8836281895637512,0.9030091762542725,0.9520054459571838,16.50485436893204
Gemini,103.0,0.8793765109719582,0.09219721444955502,0.36746087670326233,0.8774523735046387,0.8969101309776306,0.9216714203357697,0.9625919461250305,46.601941747572816
GPT,100.0,0.860081901550293,0.11749325183397068,0.22097691893577576,0.8572530001401901,0.8926069438457489,0.9208050817251205,0.9603398442268372,36.89320388349515
